Date,Avocado A,Avocado B,Banana A,Banana B,Carrot A,Carrot B,Cucumber A,Cucumber B,Green Apple A,Green Apple B,Green Cabbage A,Green Cabbage B,Lemon A,Lemon B,Letture A,Letture B,Onion A,Onion B,Pear A,Pear B,Pomegranate A,Pomegranate B,Red Apple A,Red Apple B,Red Cabbage A,Red Cabbage B,Red Pepper A,Red Pepper B,Sweet-Potato A,Sweet-Potato B,Tomatoe A,Tomatoe B,Yellow Pepper A,Yellow Pepper B
14.02.2016,,14.0,5.2,,2.4,,4.2,,4.0,5.7,2.0,,4.7,,1.4,,4.5,,8.0,8.2,3.7,5.1,3.2,4.5,3.4,,6.6,8.9,2.8,,3.9,4.1,5.0,9.3
16.02.2016,,,4.9,,2.3,,4.1,,4.0,6.7,1.9,,4.9,,2.1,,,,4.7,9.0,,5.2,3.2,4.5,3.1,,5.9,9.1,2.6,,2.5,3.6,5.5,9.2
18.02.2016,,16.7,4.8,,2.3,,4.1,,4.0,6.8,2.1,,4.5,,1.0,,3.7,,4.7,9.6,3.0,5.3,3.2,4.5,2.5,,5.6,8.5,2.7,,2.0,2.1,,8.8
22.02.2016,,,4.6,,2.2,,3.3,,4.0,6.0,2.5,,4.5,,2.0,,,,4.7,9.5,3.0,5.0,3.2,4.5,2.9,,7.2,8.8,2.5,,,2.8,6.6,8.9
24.02.2016,,,4.6,,2.2,,2.9,,4.0,6.0,2.6,,4.6,,2.0,,,,4.7,9.2,2.8,4.5,3.2,4.5,2.7,,5.2,8.7,2.6,,,3.0,5.0,8.8
01.03.2016,,,5.1,,2.1,,5.6,,4.0,6.0,1.6,,4.4,,2.0,,4.0,,4.7,9.6,3.0,4.8,3.2,4.8,2.5,,4.9,7.1,2.8,,1.8,2.0,5.7,7.6
02.03.2016,,,5.0,,2.0,,4.5,,3.7,5.9,1.4,,4.3,,1.6,,4.8,,5.1,9.2,3.0,4.5,3.5,5.1,2.2,,5.7,7.1,2.5,,,1.7,4.6,7.0
03.03.2016,,14.0,5.1,,2.0,,3.9,,4.0,5.5,1.4,,4.0,,1.4,,,,4.7,9.6,,4.7,3.2,4.5,2.3,,4.4,7.1,2.5,,2.0,2.1,4.7,7.4
07.03.2016,,,5.7,,2.2,,3.1,,4.0,5.9,1.7,,4.5,,1.7,,4.5,,4.7,8.5,3.0,5.3,3.2,4.8,2.3,,6.5,7.6,2.8,,,2.6,4.7,7.5
09.03.2016,,,5.9,,2.2,,3.4,,4.0,6.4,1.4,,4.3,,1.4,,4.0,,4.7,9.8,3.0,5.0,3.2,5.0,2.1,,5.8,8.0,3.0,,,2.3,5.1,8.1
