Avocado A,Avocado B,Banana A,Banana B,Carrot A,Carrot B,Cucumber A,Cucumber B,Date,Green Apple A,Green Apple B,Green Cabbage A,Green Cabbage B,Lemon A,Lemon B,Letture A,Letture B,Onion A,Onion B,Pear A,Pear B,Pomegranate A,Pomegranate B,Red Apple A,Red Apple B,Red Cabbage A,Red Cabbage B,Red Pepper A,Red Pepper B,Sweet-Potato A,Sweet-Potato B,Tomatoe A,Tomatoe B,Yellow Pepper A,Yellow Pepper B
,,4.00,5.00,3.00,4.50*,3.00,,15.07.2018,8.40,8.50,3.0,,4.20,6.7,3.00,,2.60,,8.60*,9.50,,,4.50,7.50,2.20,,4.30,7.00,,5.00*,,5.70,5.00,6.70
,,4.40,5.20,3.00,4.50,4.00,,16.07.2018,5.50,8.50,3.1,,4.00,7.1,,,2.60,,7.70*,9.50,,,4.50,7.50,1.90,,5.00,6.80,,5.00*,,6.20,5.00,7.00
,,4.00,5.00,2.80,4.10,3.70,,17.07.2018,6.50,8.30,2.9,,4.40,7.1,3.00,,2.60,,13.00,,,,4.50,7.50,2.10,,4.50,6.50,,5.00*,,5.80,4.30,6.80
,,4.30,5.20,3.00,4.40*,4.00,,18.07.2018,8.40,8.50,2.5,,5.00,6.9,3.00,,2.60,,13.00,,,,,6.80*,2.00,,4.90,6.50,,5.00*,,5.80,4.40,6.80
,,4.50,4.90,3.00,4.30*,4.10,,19.07.2018,6.50,8.40*,2.7,,4.20,6.8,3.00,,2.60,,6.00,9.50,,,4.50,7.50,2.50,,4.30,6.10,,5.00*,,5.20,3.90,6.50
,,4.50,5.10,3.30*,4.60*,3.90,,22.07.2018,6.20,8.50,2.9,,4.50,6.5,3.00,,2.60,,,9.50,,,4.50,7.50,2.70,,4.40,6.40,,5.00*,,5.20,3.90,6.50
,,4.30,5.00,3.30,4.30,4.40,,23.07.2018,6.40,8.50,2.7,,4.00,6.2,3.00,,2.80,,11.00,,,,,7.40*,2.40,,4.00,6.30,,3.80,,5.20,4.20,6.60
,,4.00,5.20,3.60,4.60*,5.10,,24.07.2018,6.50,8.70,2.8,,4.40,6.9,3.00,,2.90,,9.70,10.00,,,4.70,7.90,2.80,,4.00,6.50,,4.60*,,5.20,3.90,6.60
,,,5.10,3.10,4.60*,5.50,,26.07.2018,6.50,8.80,3.2,,4.60,6.5,3.00,,2.70,,9.30,9.50,,,4.50,6.70,2.00,,4.00,6.00,,4.80*,3.30,4.70,4.00,6.00
,,,5.00,3.00,4.60,3.70,,01.08.2018,6.50,8.60*,2.6,,5.20,6.4,3.00,,2.80,,8.00,,,6.00,,,2.50,,3.50,5.20,,4.00,,4.00,4.20,5.90
,,4.50,5.00,3.10,4.90,3.80,,02.08.2018,6.50,8.30,2.8,,3.60,5.9,3.00,,2.70,,6.00,9.50*,4.00,5.40,4.50,6.30,3.00,,3.40,4.80,,4.50*,,3.90,3.80,5.10
,,4.50,5.00,3.10,4.80*,3.60,,05.08.2018,6.50,8.80,2.7,,4.50,5.9,3.00,,2.70,,5.00,10.00,,5.40,4.50,7.20,3.10,,3.50,4.70,,4.50*,,4.20,4.00,5.00
,,4.50*,5.20,3.60,4.50,3.50,,06.08.2018,6.50,8.50,2.4,,3.20,5.7,2.80,,2.80,,5.00,10.70,,6.30,5.00,6.10,2.60,,3.50,4.20,,3.80,,3.90,4.10,4.40
,,4.80,5.20,3.00,4.80*,3.20,,07.08.2018,6.50,8.70,2.8,,3.60,5.9,2.80,,2.80,,5.00,9.80,,6.60,4.90,6.10,3.10,,3.40,4.40,,4.40*,,3.90,5.00,5.10
,,4.60,5.30,2.90,4.80,3.30,,08.08.2018,6.40*,8.70,2.7,,3.20,5.6,3.00,,2.80,,4.30*,10.80,5.00,5.50,,8.50,2.70,,3.50,4.40,,4.10,,4.20,3.80,4.70
,,4.50,5.00,3.10,4.90*,3.90,,09.08.2018,6.50,8.50,2.6,,3.90,5.9,2.80,,2.80,,3.00,10.30,3.70,5.60,4.50,5.00,3.10,,3.30,4.40,,4.50*,3.10,4.30,3.00,4.60
,,4.50,5.10,3.10,4.90,3.80,,12.08.2018,6.50,8.80,2.6,,4.50,6.0,3.00,,2.80,,4.90*,10.20,3.80,6.20,4.70,6.30,3.30,,3.30,4.00,,4.50*,,4.20,2.70,4.30
,,4.50,5.10,3.30*,4.90,4.50,,13.08.2018,6.50,8.30,2.6,,3.50,5.1,3.00,,2.80,,5.60,10.20,4.00,5.70,4.50,6.40,3.30,,3.20,4.40,,4.60*,,5.00,3.50,4.70
,,4.50,5.00,4.00,4.60,4.00,,14.08.2018,6.50,8.50,2.6,,2.70,5.4,3.00,,2.80,,6.00,10.50,4.00,6.00,,7.50,3.10,,3.00,4.60,,4.60,,4.60,3.00,4.90
,,4.20*,5.20,4.00,4.90,3.90,,15.08.2018,6.50,8.60,2.6,,3.60,5.8,3.00,,2.80,,7.00*,10.10,3.90,6.80,4.50,5.90,3.40,,3.00,4.30,,4.70*,,4.80,3.40,4.50
,,4.50,5.10,3.60,4.90,4.20,,16.08.2018,6.50,8.50,2.6,,3.60,5.1,3.00,,2.70,,9.00,9.90,3.80,5.80,4.50,6.30,3.20,,3.00,4.40,,4.70*,,4.90,3.00,4.60
,,4.50,5.20,3.60,4.90,4.10,,19.08.2018,6.50,8.50,2.7,,3.70,5.4,3.00,,2.70,,,10.10,3.70,6.00,4.50,7.50,3.30,,3.00,4.40,,4.80*,,4.90,3.00,4.50
,,4.70,5.00,3.80,4.50,3.90,,20.08.2018,6.50,8.60,2.5,,3.60,5.2,3.00,,2.70,,,10.00,3.80,5.90,4.50,8.10,3.10,,3.00,4.60,,4.80*,,4.90,3.50,4.50
,,,5.00,3.80,5.00,4.50,,21.08.2018,6.50,8.60,2.5,,3.50,5.6,3.00,,2.80,,6.00,10.10,3.40,5.80,4.00,6.50,2.90,,3.00,4.30,,4.90*,,4.70,,4.70
,,4.80,5.30*,3.40,4.70*,4.70,,22.08.2018,6.60*,8.70,2.7,,3.60,5.1,3.00,,2.80,,,10.30,3.40,5.80,4.50,6.20,3.20,,3.00,4.50,,4.90*,,4.90,3.00,5.00
,,5.00,5.60,3.60,4.40,4.90,,23.08.2018,6.50,8.50,2.6,,3.50,5.5,2.90*,,2.70,,6.00,11.00,3.60,5.50,,6.00,3.00,,2.80,4.40,,4.00,,4.70,3.00,4.80
,,,5.50*,4.00,4.70*,4.00,,26.08.2018,6.70*,8.50,2.9,,3.50,5.5,3.00,,2.90,,,10.00,4.00,6.00,4.50,7.50,3.00,,,4.50,,4.70*,,4.80,,5.00
,,4.90,5.50,4.00,4.60,4.40,,02.09.2018,6.80*,8.50,2.8,,3.50,5.4,3.00,,3.20,,,10.50,3.70,5.60,4.70*,7.50,3.00,,3.50,5.50,,4.70*,,4.80,,6.00
,,5.00,5.30,3.70,4.70*,5.80,,03.09.2018,6.50,8.50,2.6,,3.30,5.5,2.80,,3.10,,6.00,10.60,3.70,5.60,,4.70,3.20,,4.70,5.50,,4.80*,,4.50,,5.70
,,4.70,5.30,4.00,4.60,5.60,,04.09.2018,7.30,8.50,2.6,,3.60,5.6,2.50,,3.20,,,10.30,3.80,6.00,4.50,7.50,3.70,,5.00,6.20,,4.80*,,4.80,3.00,5.90
,,4.50,5.30,4.00,4.50,5.70,,05.09.2018,6.90*,8.50,2.2,,3.30,5.4,3.00,,3.10,,6.40*,10.80,3.70,5.80,5.00,5.30,3.30,,3.20,6.10,,4.90*,,4.10,3.00,5.80
,,4.70,5.30,4.00,4.60,6.10,,06.09.2018,5.50,8.60,2.5,,3.40,5.4,2.70,,3.30,,,10.60,3.70,6.00,4.50,7.30,3.60,,3.30,5.90,,4.90*,,4.30,4.00,6.00
,,5.00,5.00,3.80,4.70*,2.30,,09.09.2018,7.40,8.30,2.6,,2.60,5.4,3.10,,3.10,,6.00,11.00,3.90,5.80,4.50,5.30,3.00,,4.00,6.00,,4.90*,,3.90,,6.00
,,4.90*,5.10,4.00,5.00,3.80,,12.09.2018,6.00,7.50,2.8,,3.10,5.2,2.70,,3.20,,6.00,10.60,4.00,5.90,4.50,6.60,3.60,,4.00,7.20,,5.00*,,5.10,4.00*,7.10
10.00,,5.10,5.30,4.00,4.90*,3.80,,13.09.2018,5.50,8.70,2.9,,3.50,5.5,2.70,,3.20,,,10.50,4.00,5.70,4.50,7.50,4.50,,4.40*,7.50,,5.00*,,4.90,,7.70
,10.00,5.00,5.20*,4.00,5.00*,3.70,,16.09.2018,5.50,7.80,2.8,,3.40,5.4,2.70,,3.30,,,10.30,4.00,6.00,4.30,7.50,4.60,,4.00,7.80,,5.00*,,4.80,,7.80
,,4.70*,5.30,4.00,5.00*,4.00,,17.09.2018,5.50,7.20,2.8,,3.40,5.3,2.50,,3.40,,,10.30,4.00,6.00,4.50,7.50,4.20,,4.70,7.40,,5.00*,,5.20,4.50,7.70
7.50,10.10,5.00,5.30,4.00,5.00*,4.10,,20.09.2018,5.50,8.70,2.7,,3.50,5.4,2.50,,3.30,,,10.00,3.90,6.00,4.30,7.50,4.50,,,7.30,,5.00*,,5.10,,7.70
8.50*,10.40,4.60*,5.20,4.00,4.60,3.70,,25.09.2018,5.70,8.60,3.0,,3.70,5.4,3.00,,4.00,,,10.50,4.10,6.40,4.30,6.40,4.20,,5.00,7.50,,5.00*,,4.90,,7.50
7.80,10.10,4.10,5.30,3.80,4.80*,3.70,,26.09.2018,5.50,8.90,2.5,,3.40,5.4,2.40,,4.10,,,10.30,3.80,6.30,4.10,7.30,4.30,,3.90,7.00,,5.00*,,4.60,4.00,7.70
8.00,10.00,,5.00,4.10,4.90*,3.50,,02.10.2018,5.30,8.90,2.7,,3.50,5.8,3.00,,4.10,,6.00,10.60,4.10,6.20,3.50,7.30,3.90,,,7.10,,5.00*,,4.80,4.20*,7.30
7.30*,9.50,,5.00,3.70,4.90*,3.70,,03.10.2018,5.70,8.90,2.5,,3.40,5.5,2.70,,4.10,,7.70*,10.00,4.20,5.60,4.30,7.30,3.60,,4.40,6.80,,5.00*,,4.70,5.00,7.20
6.00,10.00,,5.00,3.50,4.90*,3.80,,04.10.2018,5.50,8.80,2.4,,,5.8,3.00,,4.20,,5.40,11.00,5.00,7.10,4.50,7.50,3.90,,5.00,7.00,,5.00*,,4.90,5.00,7.30
6.20,10.50,4.20,4.80,4.00,5.00*,4.10,,07.10.2018,5.50,8.80,2.4,,3.60,5.3,2.60,,4.60,,8.70,10.30,4.00,6.30,4.50,7.50,3.90,,5.30*,8.00,,5.00*,,5.30,,7.50
6.90,9.40,,4.80,3.40,5.00,4.70,,08.10.2018,5.50,9.00,2.1,,3.20,5.4,2.80*,,4.50,,6.00,10.80,4.40,5.80,4.10,6.90,3.50,,4.00,7.20,,5.00,,4.90,,7.60
,9.10,,4.80,4.00,5.00*,7.20,,09.10.2018,5.50,8.50,2.5,,3.50,5.2,2.00,,4.70,,8.50,9.70,4.00,6.00,4.50,7.50,3.90,,5.30*,8.10,,5.00*,,5.00,,8.00
5.60,9.00,4.00,4.90,3.70,4.80*,8.10,,10.10.2018,5.70,7.90,2.1,,2.90,5.3,2.40,,4.70,,7.80,9.90,3.90,5.80,4.30,7.50,3.70,,4.00,7.30,,5.00*,,4.80,3.50,7.50
5.40,8.30,3.80,4.60,4.20,4.90*,7.40,,11.10.2018,5.30,8.70,2.1,,3.60,5.1,2.00,,4.70,,9.00,10.20,3.60,5.80,4.50,7.50,3.80,,4.70,7.90,,5.00*,,5.00,,7.70
4.80,6.80,3.70,4.40,4.00,4.90*,5.10,,14.10.2018,5.50,8.40,2.0,,3.50,5.0,2.40,,4.70,,,10.40,3.80,5.70,4.50,7.50,3.90,,6.00,7.70,,5.00*,,5.70,5.00*,7.60
5.30,7.00,3.60,4.50,4.00,4.90,5.20,,15.10.2018,5.50,8.80,1.8,,3.50,4.7,2.40,,4.60,,6.00,10.80,3.70,5.00,,7.00,3.40,,4.30,7.50,,5.00,,5.40,4.90*,7.60
,7.10,3.00,4.00,4.00,4.90*,5.50,,16.10.2018,5.50,7.80,1.4,,3.40,5.6,2.40,,4.70,,,10.20,3.50,5.70,4.30,7.50,3.80,,6.00,8.40,,5.00*,,5.50,,8.20
5.30,6.80,3.50,4.30,3.80,4.90*,5.10,,17.10.2018,5.40,8.50,1.5,,3.60,4.9,3.50,,4.60,,6.00,10.00,3.60,5.10,4.50,7.30,3.30,,4.00,7.50,,5.00*,,5.50,,7.80
4.50,6.70,3.10,4.50,4.20,5.00*,4.40,,18.10.2018,5.30,8.40,1.4,,3.50,4.7,3.50,,4.60,,8.00,10.40,3.60,5.30,4.30,7.50,3.60,,6.00,7.50,,5.00*,,5.10,,8.00
5.40,7.00,3.20,3.60,3.50,4.80,3.70,,21.10.2018,5.50,7.80,1.6,,3.20,4.8,2.40,,4.50,,6.80,10.30,3.80,5.30,4.00,6.80*,3.10,,5.60,7.50,,5.00*,,5.60,6.00,7.90
5.90,7.20,3.30,3.90,3.40,4.90,3.60,,22.10.2018,5.50,8.50,1.7,,3.20,4.9,,,4.50,,9.00,10.10,3.80,5.30,4.00,5.50,3.50,,4.00,7.30,,5.00*,,5.40,7.00,8.30
,7.10,,3.30,4.00,4.80*,3.70,,23.10.2018,5.30,8.50,1.8,,3.40,5.2,2.50,,4.40,,8.50*,10.10,3.90,5.40,4.00,5.50,3.70,,4.00,7.30,,5.00*,,5.50,5.70*,7.70
5.50,7.00,3.30,3.50,3.70,4.90*,3.90,,24.10.2018,5.50,8.50,1.7,,3.50,4.9,3.50,,4.40,,9.00,10.80,3.80,5.30,4.00,5.50,3.70,,4.20,7.10,,5.00*,,5.60,4.00,8.10
4.60,6.40,2.90,3.00,3.40,4.90*,4.20,,25.10.2018,5.50,8.50,2.1,,3.40,4.6,3.50,,4.50,,5.50,10.20,2.80,5.30,4.00,5.50,4.30,,3.80,7.00,,5.00*,,5.90,5.30,8.00
3.40,5.80,2.80,2.80,3.50,4.80*,7.40,,01.11.2018,5.70,8.00,2.7,,3.10,4.2,2.60,,4.60,,9.00,11.20,3.70,5.30,4.00,5.50,5.60,,3.10,6.10,,5.00*,,5.10,4.50,7.90
3.50,5.90,2.60,2.80,3.70,4.80,6.30,,04.11.2018,5.50,8.50,3.1,,3.50,4.6,2.60,,4.70,,6.00,9.80,3.80,5.50,4.00,6.10,6.20,,4.00,6.70,,5.00,,5.70,,7.50
3.00,7.00,,2.50,,4.90*,6.50,,05.11.2018,5.70,8.00,3.0,,3.30,5.0,2.70,,4.70,,,10.30,3.30*,5.00,4.00,5.50,6.00,,,6.70,,5.00*,,5.10,,7.50
3.60,5.70,2.50,2.60,3.80,4.40,5.80,,06.11.2018,5.50,8.10,2.9,,4.00,4.4,2.70*,,4.70,,6.00,10.00,3.80*,5.30,4.00,5.80,5.70,,4.50,6.00,,4.40*,,5.30,5.00,7.10
4.00,6.20,2.50,2.70,3.40,4.80*,5.60,,07.11.2018,5.70*,8.00,2.9,,3.20,4.5,3.50,,4.70,,,10.50,4.50,5.30,4.10*,5.50,6.00,,4.00,5.90,,4.80*,,5.50,,7.30
3.90,5.90,2.50,2.60,3.70,4.70*,3.00,,08.11.2018,5.70,8.20,2.8,,3.30,4.5,3.00,,4.70,,9.00,11.20,3.20,5.50,4.00,5.50,6.00,,3.00,5.70,,4.70*,,5.60,4.20*,7.10
3.80,6.00,2.50,2.70,3.50,4.60,3.20,,11.11.2018,5.70,8.00,3.2,,3.00,4.2,2.50,,4.90,,6.00,9.30,3.80,5.30,4.00,5.60,5.80,,5.20,6.00,,4.80*,,5.40,5.50,6.90
4.30,5.70,2.30,2.80,3.80,4.70,3.00,,12.11.2018,5.50,8.20,3.0,,3.20,4.4,2.50,,5.20,,,9.30,3.80,5.20,4.00,6.90,5.70,,3.90,5.90,,4.90*,,5.20,3.30,7.40
5.00,6.20,2.50,2.60,4.00,4.50,3.00,,13.11.2018,5.50,8.20,3.0,,3.00,4.3,2.90*,,5.40,,6.00,10.30,5.00,5.00,4.00,5.80,6.20,,5.00,5.70,,4.90*,,5.20,,6.80
4.50,5.90,2.50,2.70,4.00,4.70*,3.20,,14.11.2018,5.60*,8.10,2.8,,3.20,4.5,3.00,,5.30,,8.00,10.20,3.80,5.60,4.10*,5.80,6.30,,4.40,5.90,,4.90*,,5.20,3.40,6.70
3.90,6.20,2.50,2.60,3.80,4.80*,3.30,,15.11.2018,5.50,8.00,2.8,,3.30,4.4,3.00,,5.80,,9.00,11.20,4.00,5.60,4.00,5.80,6.20,,2.80,5.60,,4.90*,,5.30,5.00,6.80
4.60,6.20,2.50,2.70,3.40,4.80*,3.30,,18.11.2018,5.50,8.00,3.0,,3.50,4.1,3.30*,,6.30,,5.90,10.60,4.30,5.50,4.00,5.80,6.60,,3.90,5.70,,5.00*,,6.00,,6.20
4.10*,6.30,2.50,2.70,3.50,4.90*,3.00,,19.11.2018,5.50,8.40,2.8,,2.40,4.3,3.00,,6.50,,7.30*,9.50,4.00,5.90,4.00,6.10,7.30,,3.50,5.50,,5.00*,,5.60,5.00,6.20
4.50,6.40,2.50,2.60,3.50,4.50,3.20,,20.11.2018,5.50,8.40,3.1,,3.00,4.2,4.00,,7.00,,6.00,10.50,3.70,5.50,4.00,5.50,7.00,,4.00,5.30,,4.60,,5.70,5.30,6.60
4.50,6.00,2.50,2.70,3.40,4.70,3.20,,21.11.2018,,8.70,2.9,,3.00,4.2,3.50,,7.00,,9.00,10.00,5.00,5.70,,7.00,7.00,,,5.40,,4.80*,,5.90,,6.80
4.50,6.40,2.50,2.70,3.50,4.80,3.10,,22.11.2018,5.50,8.20,2.4,,3.00,4.2,4.00,,6.90,,6.50,9.60,4.00,5.30,4.00,5.30,7.00,,4.00,5.30,,4.80*,,5.70,5.00,6.60
4.50,6.30,2.50,2.60,3.50,4.50,3.10,,25.11.2018,5.50,8.10,2.5,,2.90,4.1,3.90,,7.00,,6.00,10.20,5.00,5.20,4.00,5.80,7.00,,3.30,5.00,,4.60,,5.70,4.50,5.70
4.40,6.10,2.50,2.70,3.80,4.60*,3.10,,26.11.2018,5.50,8.00,2.4,,3.00,4.2,,,7.00,,9.00,10.60,5.00,5.60,4.00,5.80,7.00,,3.50,5.40,,4.80*,,6.20,4.50*,5.90
4.50,6.60,2.50,2.60,3.20,4.70*,3.30,,02.12.2018,5.50,8.00,2.0,,3.50,4.1,3.00,,6.50,,6.40,10.00,4.50,5.10,4.00,5.60,4.80,,,5.00,,4.90*,,6.00,5.00,5.60
,6.50,,2.80,,4.80*,3.70,,03.12.2018,5.50,8.00,2.2,,,4.2,4.00,,6.40,,7.50*,9.60,,5.50,4.00,5.80,6.30,,,5.00,,5.00*,,5.80,,5.00
4.60*,6.50,2.50,2.70,3.10,4.50,4.50,,04.12.2018,5.50,8.20,1.9,,3.00,3.8,3.30,,6.50,,6.30,9.90,3.70,5.40,4.00,5.90,5.70,,4.00,4.90,,5.00*,,6.00,4.00,5.60
5.00,6.30,2.50,2.60,4.00,4.80*,5.00,,05.12.2018,,8.70,2.1,,3.30,3.7,4.00,,6.50,,,10.00,4.40,5.40,,,6.00,,,5.00,,5.00*,,6.00,,5.70
5.00,6.30,2.50,2.70,3.60,4.40*,4.10,,06.12.2018,5.50,8.10,1.9,,3.00,3.9,3.30,,6.50,,6.80,10.30,4.50,5.20,4.00,5.80,5.30,,4.00,4.90,,5.00*,,5.60,4.50,5.60
4.80,6.50,2.50,2.80,3.10,4.20,4.00,,09.12.2018,5.50,8.20,2.3,,3.00,3.9,3.30*,,6.60,,6.50,10.70,5.00,5.30,4.00,6.10,4.90,,3.40,5.00,,3.50,,5.60,3.00,5.60
6.00,7.20,2.60*,2.80,3.80,4.50*,3.40,,10.12.2018,5.50,8.40,2.2,,3.00,3.9,3.10*,,6.40,,6.50,10.50,4.00,5.10,4.00,5.50,6.10,,3.00,5.10,,4.10*,,5.30,,5.60
6.00,7.40,2.50,2.80,3.90,4.30*,3.50,,11.12.2018,5.50,8.10,2.3,,3.10,4.1,,,6.20,,,10.70,4.50,4.90,4.00,5.80,4.60,,3.50,5.10,,3.60*,,5.20,4.00,5.60
6.00,7.50,2.80,2.80,3.90,4.40*,4.00,,12.12.2018,5.50,8.10,1.9,,3.00,4.3,,,6.20,,,12.00,3.70,5.50,4.00,5.80,5.20,,4.00,5.00,,3.80*,,4.60,3.50,5.50
6.10,7.80,2.50,2.80,3.60,3.70,4.50,,13.12.2018,5.50,8.10,2.0,,3.30*,3.9,4.00,,6.10,,6.30,11.00,3.70,5.40,4.00,5.60,4.60,,3.70,5.10,,4.10*,,4.70,4.00,5.70
6.00,7.90,2.90*,3.20,3.50,4.10*,4.50,,16.12.2018,5.50,8.00,1.9,,3.00,3.9,2.50,,5.60,,,10.50,3.50,5.30,4.00,6.10,4.80,,3.00,5.10,,4.30*,,4.60,4.30,5.50
5.70,7.60,,3.30,3.60,4.20*,4.60,,17.12.2018,5.50,8.10,1.7,,3.20,4.2,,,6.20,,,10.00,4.10,5.40,4.00,5.80,4.00,,4.00,5.10,,4.10*,,4.30,4.00,5.00
5.50,7.60,,3.00,3.70,4.20,5.00,,18.12.2018,5.40,8.00,1.8,,3.00,4.2,4.00,,5.80,,,11.30,5.00,5.00,4.00,6.40,4.60,,4.50,5.20,,4.10*,,4.40,,5.30
6.00,7.30,,3.20,3.40,4.30*,5.10,,19.12.2018,5.50,8.00,1.7,,3.20*,4.2,,,5.10,,,10.00,3.50,5.20,4.00,5.80,4.30,,4.40*,5.10,,3.90*,,4.40,4.40,5.10
6.00,7.60,2.70,3.30,3.50,4.30*,4.80,,20.12.2018,5.50,7.90,1.9,,3.00,4.2,,,5.90,,,10.90,4.00,5.00,4.00,6.70,4.30,,4.00,5.00,,4.30*,,4.40,4.00,5.40
5.70,7.40,2.50,3.70,3.40,4.30*,4.70,,23.12.2018,5.50,8.10,1.8,,3.00,4.1,2.60,,5.30,,6.30,10.60,4.00,5.20,4.00,5.60,3.90,,4.00,5.10,,4.40*,,4.60,4.00,5.30
5.70*,7.40,2.50,3.70,3.40,4.40*,3.90,,24.12.2018,,8.50,1.5,,2.70,4.4,,,4.80,,,11.20,3.00,5.00,,5.50,3.70,,3.50,5.30,,4.20*,,4.60,3.70,5.20
6.00,7.20,,3.60,3.20,4.30,4.10,,25.12.2018,5.50,8.20,1.4,,3.70,4.4,3.00,,4.30,,,10.70,3.80,5.20,4.00,5.90,3.60,,3.80,5.20,,2.90,,4.90,4.10,5.80
6.00,7.40,,3.60,3.40,4.40*,3.80,,26.12.2018,5.50,8.00,1.6,,3.50,4.4,,,5.30,,,12.00,4.00,5.70,4.00,5.50,3.60,,3.40*,5.30,,3.60*,,5.20,4.30,5.20
6.00,7.10,,3.40,3.30,4.20*,3.00,,01.01.2019,,7.90,1.6,,3.10,4.5,,,5.00,,,10.30,3.80,5.10,,5.90,3.30,,4.00,5.30,,4.50*,,7.20,4.50,5.30
5.80,7.00,,3.20,3.40,4.20*,3.10,,02.01.2019,,8.00,1.7,,3.50,4.5,3.00,,5.20,,,10.80,3.80,5.20,,5.50,3.40,,,5.40,,4.20*,,7.00,,5.30
6.00,7.40,,3.60,3.50,4.10*,3.80,,03.01.2019,,8.20,1.7,,3.00,4.7,3.00,,,,,10.70,,5.00,,5.50,3.40,,,5.50,,4.10*,,7.00,,5.10
6.00,7.90,2.50,3.50,3.30,4.30,3.70,,06.01.2019,,8.00,1.7,,3.00,4.4,2.60,,5.20,,6.20,10.40,3.60,5.80,,5.30,3.50,,3.70*,5.30,,4.40*,,6.80,4.50,5.60
6.50,8.40,2.80*,3.40,3.20,3.70,3.90,,07.01.2019,,8.00,2.0,,3.00,4.3,,,4.00,,,11.30,4.20,4.90,,5.40,3.40,,4.30,5.50,,3.90*,,6.70,4.20*,5.80
6.50,7.90,2.50,3.30,3.00,3.90*,4.00,,08.01.2019,,8.00,1.8,,3.00,4.1,,,5.00,,,11.10,3.70,5.60,,6.50,3.20,,4.10,5.20,,4.40*,,6.90,3.50,5.70
6.80,8.00,,3.20,3.10,4.00*,4.50,,09.01.2019,,8.20,1.9,,3.00,4.3,3.00,,4.50,,,11.60,4.10,5.30,,6.10,3.70,,3.00,5.30,,4.00*,,6.30,3.10,6.30
6.50,8.80,2.80,3.50,3.20,4.00*,4.20,,10.01.2019,,8.30,1.6,,3.00,4.1,2.50,,4.40,,6.30,10.50,4.00,5.30,,5.40,3.10,,4.00,5.20,,4.50*,,6.40,,6.60
6.70,9.30,3.00,3.50,3.00,4.00*,3.60,,13.01.2019,,8.20,1.7,,3.00,4.0,2.60,,4.90,,6.30,10.10,4.00,5.50,,5.50,3.20,,3.60,5.20,,4.50*,,6.30,4.20,6.20
8.40*,12.00,3.40,3.50,3.00,4.10*,4.00,,14.01.2019,,8.10,1.8,,3.00,4.0,,,4.30,,,10.80,3.40,5.00,,5.60,3.70,,3.00,5.10,,4.20*,,6.10,,5.60
7.00,11.60,,3.50,3.40,4.10*,4.30,,15.01.2019,,8.20,1.5,,3.30,4.3,2.60,,,,7.00*,10.70,3.80,5.30,,6.30,3.00,,4.00,5.10,,4.10*,,6.10,3.80,5.60
7.10,11.50,,3.40,2.70,4.10*,4.60,,16.01.2019,,8.20,1.7,,3.00,4.1,2.50,,5.50,,8.00,10.00,3.80,5.30,,6.10,3.20,,3.80,5.40,,4.00*,,6.30,4.50,5.70
6.60,11.40,,3.60,2.60,4.00,4.40,,17.01.2019,,8.00,1.6,,3.00,4.1,2.60,,4.90,,6.20,10.60,3.80,5.70,,5.50,3.30,,3.30,5.10,,3.60*,,6.30,,5.70
8.40,11.20,3.00,3.50,2.80,3.60*,3.60,,20.01.2019,,8.20,2.0,,3.00,4.1,3.00,,4.60,,6.30,10.30,4.00,5.60,,5.40,3.60,,3.40,5.10,,4.20*,,6.50,4.50,6.00
7.80,10.90,,3.90,2.70,3.90*,3.80,,21.01.2019,,8.20,2.0,,3.20,4.3,2.60,,,,,11.60,3.90,6.10,,7.30,3.60,,,5.30,,3.60*,,6.50,,5.80
7.70,11.50,,3.90,2.80,3.90*,4.10,,22.01.2019,,8.00,2.0,,3.20,4.3,2.50,,4.40,,,9.60,4.00,5.80,,5.40,3.70,,3.80,5.80,,4.30*,,6.70,3.80,6.00
7.40,11.30,3.20,3.90,2.70,4.00*,3.80,,23.01.2019,,8.20,1.9,,3.00,4.3,2.50,,,,,9.80,3.70,6.20,,6.20,3.50,,3.30,5.90,,3.80*,,6.60,3.90*,6.00
7.20,11.80,3.00,3.90,2.50,4.00,3.70,,24.01.2019,,8.00,2.0,,3.30*,4.0,2.50,,5.00,,6.20,10.40,3.00,5.60,,5.60,3.00,,4.30,5.70,,4.80,,6.20,,6.20
6.90,11.40,3.80,4.40,2.90,3.90,2.70,,03.02.2019,,8.10,2.2,,3.00,4.2,2.60,,5.00,,6.20,11.20,3.30,5.70,,5.50,3.30,,3.80,5.80,,4.90*,,5.30,,6.70
7.10,11.10,4.00,4.30,2.90,4.00*,3.10,,04.02.2019,,8.30,2.1,,2.80,4.1,,,5.00*,,,11.10,3.80,5.60,,6.10,3.50,,3.70,6.30,,4.80*,,5.40,3.50,6.50
7.10,10.90,3.30,4.30,2.90,3.90*,4.00,,05.02.2019,,8.20,2.4,,3.00,4.1,2.50,,,,6.80,10.80,3.50,5.60,,6.20,3.20,,4.40,6.00,,4.80*,,5.30,4.00*,6.20
7.30,10.90,,4.50,2.80,4.00*,4.10,,06.02.2019,,8.50,2.2,,3.00,4.4,,,4.30,,6.50,10.60,3.80,5.80,,6.30,3.30,,3.90,6.00,,4.80*,,5.30,3.50,6.60
8.00,11.80,3.50,4.50,2.60,3.80*,3.90,,07.02.2019,,8.20,2.3,,3.00,4.3,2.60,,4.40,,6.30,11.20,4.00,5.60,,5.40,3.20,,4.20,6.10,,4.90*,,4.90,4.70,6.60
